CountryID,Name,movieID,population,language
DE,Germany,39516,83000000.0,German
IT,Italy,39516,60000000.0,Italian
US,United States of America,39516,331000000.0,English
US,United States of America,40034,331000000.0,English
FR,France,245775,65000000.0,French
FR,France,53389,65000000.0,French
IT,Italy,8434,60000000.0,Italian
FR,France,8434,65000000.0,French
GB,United Kingdom,8434,67000000.0,English
AU,Australia,122796,25000000.0,English
GB,United Kingdom,111473,67000000.0,English
IL,Israel,204810,5000000.0,Multiple Languages
JP,Japan,126963,126000000.0,Japanese
CO,Colombia,136735,5000000.0,Multiple Languages
MX,Mexico,136735,126000000.0,Spanish
US,United States of America,136735,331000000.0,English
AR,Argentina,153158,45000000.0,Spanish
ES,Spain,153158,47000000.0,Spanish
US,United States of America,56965,331000000.0,English
US,United States of America,243531,331000000.0,English
KR,South Korea,290075,52000000.0,Korean
US,United States of America,292062,331000000.0,English
US,United States of America,54773,331000000.0,English
US,United States of America,120497,331000000.0,English
US,United States of America,95504,331000000.0,English
JP,Japan,177945,126000000.0,Japanese
AU,Australia,127560,25000000.0,English
GB,United Kingdom,127560,67000000.0,English
US,United States of America,83896,331000000.0,English
US,United States of America,277809,331000000.0,English
SE,Sweden,118289,10300000.0,Swedish
GB,United Kingdom,118289,67000000.0,English
FR,France,118289,65000000.0,French
BE,Belgium,118289,5000000.0,Multiple Languages
GB,United Kingdom,109391,67000000.0,English
US,United States of America,109391,331000000.0,English
US,United States of America,159128,331000000.0,English
JP,Japan,39102,126000000.0,Japanese
US,United States of America,150249,331000000.0,English
US,United States of America,94747,331000000.0,English
US,United States of America,89581,331000000.0,English
US,United States of America,90966,331000000.0,English
NZ,New Zealand,24671,5000000.0,Multiple Languages
GB,United Kingdom,24671,67000000.0,English
GB,United Kingdom,96944,67000000.0,English
DE,Germany,96944,83000000.0,German
FR,France,190880,65000000.0,French
US,United States of America,173467,331000000.0,English
US,United States of America,193638,331000000.0,English
US,United States of America,4949,331000000.0,English
FR,France,27093,65000000.0,French
RU,Russia,225235,144000000.0,Russian
EE,Estonia,16076,5000000.0,Multiple Languages
SE,Sweden,16076,10300000.0,Swedish
NO,Norway,33114,5000000.0,Multiple Languages
US,United States of America,152206,331000000.0,English
FR,France,206408,65000000.0,French
US,United States of America,176068,331000000.0,English
SE,Sweden,168806,10300000.0,Swedish
JP,Japan,39148,126000000.0,Japanese
US,United States of America,38189,331000000.0,English
FR,France,113594,65000000.0,French
BE,Belgium,113594,5000000.0,Multiple Languages
US,United States of America,113594,331000000.0,English
US,United States of America,60140,331000000.0,English
US,United States of America,75507,331000000.0,English
TR,Turkey,110391,84000000.0,Turkish
IQ,Iraq,110391,5000000.0,Multiple Languages
IR,Iran,75404,5000000.0,Multiple Languages
US,United States of America,173340,331000000.0,English
BR,Brazil,256122,213000000.0,Portuguese
US,United States of America,159002,331000000.0,English
US,United States of America,140174,331000000.0,English
US,United States of America,126749,331000000.0,English
US,United States of America,168530,331000000.0,English
US,United States of America,84971,331000000.0,English
RU,Russia,137094,144000000.0,Russian
US,United States of America,137094,331000000.0,English
US,United States of America,157350,331000000.0,English
FR,France,6418,65000000.0,French
US,United States of America,6418,331000000.0,English
JP,Japan,31334,126000000.0,Japanese
US,United States of America,15494,331000000.0,English
US,United States of America,240916,331000000.0,English
DE,Germany,240916,83000000.0,German
CA,Canada,240916,38000000.0,"English, French"
US,United States of America,54642,331000000.0,English
FR,France,91052,65000000.0,French
FR,France,221667,65000000.0,French
FR,France,51259,65000000.0,French
RS,Serbia,51259,5000000.0,Multiple Languages
AU,Australia,182972,25000000.0,English
US,United States of America,95943,331000000.0,English
GB,United Kingdom,159037,67000000.0,English
US,United States of America,159037,331000000.0,English
EG,Egypt,159037,5000000.0,Multiple Languages
FR,France,102207,65000000.0,French
US,United States of America,52395,331000000.0,English
US,United States of America,91817,331000000.0,English
US,United States of America,79316,331000000.0,English
DE,Germany,242661,83000000.0,German
US,United States of America,163875,331000000.0,English
NL,Netherlands,81600,17500000.0,Dutch
CA,Canada,19551,38000000.0,"English, French"
US,United States of America,19551,331000000.0,English
JP,Japan,31769,126000000.0,Japanese
IT,Italy,91380,60000000.0,Italian
FR,France,91380,65000000.0,French
CA,Canada,2442,38000000.0,"English, French"
US,United States of America,29403,331000000.0,English
FR,France,101352,65000000.0,French
IR,Iran,101352,5000000.0,Multiple Languages
CA,Canada,55922,38000000.0,"English, French"
US,United States of America,84178,331000000.0,English
US,United States of America,41374,331000000.0,English
FR,France,59145,65000000.0,French
US,United States of America,149206,331000000.0,English
CA,Canada,10958,38000000.0,"English, French"
US,United States of America,10958,331000000.0,English
MX,Mexico,118011,126000000.0,Spanish
US,United States of America,26657,331000000.0,English
GB,United Kingdom,159932,67000000.0,English
US,United States of America,159932,331000000.0,English
CA,Canada,159932,38000000.0,"English, French"
DE,Germany,28062,83000000.0,German
SE,Sweden,28062,10300000.0,Swedish
SE,Sweden,21072,10300000.0,Swedish
FR,France,37351,65000000.0,French
FR,France,33998,65000000.0,French
US,United States of America,39311,331000000.0,English
US,United States of America,161315,331000000.0,English
FR,France,61663,65000000.0,French
US,United States of America,56906,331000000.0,English
US,United States of America,31780,331000000.0,English
MX,Mexico,255576,126000000.0,Spanish
GR,Greece,297560,5000000.0,Multiple Languages
GR,Greece,266549,5000000.0,Multiple Languages
AR,Argentina,134096,45000000.0,Spanish
US,United States of America,138977,331000000.0,English
US,United States of America,109259,331000000.0,English
US,United States of America,89445,331000000.0,English
US,United States of America,75020,331000000.0,English
US,United States of America,156965,331000000.0,English
ES,Spain,71622,47000000.0,Spanish
MX,Mexico,71622,126000000.0,Spanish
IT,Italy,11188,60000000.0,Italian
DE,Germany,11188,83000000.0,German
GB,United Kingdom,11188,67000000.0,English
ZA,South Africa,11188,59000000.0,"English, Zulu"
US,United States of America,177047,331000000.0,English
GR,Greece,331958,5000000.0,Multiple Languages
GR,Greece,288526,5000000.0,Multiple Languages
US,United States of America,72872,331000000.0,English
JP,Japan,72872,126000000.0,Japanese
CA,Canada,174344,38000000.0,"English, French"
US,United States of America,25003,331000000.0,English
TR,Turkey,52150,84000000.0,Turkish
SE,Sweden,78308,10300000.0,Swedish
US,United States of America,114638,331000000.0,English
US,United States of America,217993,331000000.0,English
JP,Japan,34131,126000000.0,Japanese
SE,Sweden,174671,10300000.0,Swedish
FR,France,174671,65000000.0,French
IE,Ireland,174671,5000000.0,Multiple Languages
NG,Nigeria,157384,5000000.0,Multiple Languages
US,United States of America,157384,331000000.0,English
RO,Romania,136727,5000000.0,Multiple Languages
FR,France,136727,65000000.0,French
ES,Spain,56647,47000000.0,Spanish
