CountryID,Name,MovieID,Population,Language,Cities
BR,Brazil,90374,213000000.0,Portuguese,"São Paulo, Rio de Janeiro, Brasília"
CA,Canada,18613,38000000.0,"English, French","Toronto, Vancouver, Montreal"
GR,Greece,18613,5000000.0,Unknown,Unknown
GB,United Kingdom,9911,67000000.0,English,"London, Manchester, Birmingham"
IT,Italy,27419,5000000.0,Unknown,Unknown
FR,France,27419,65000000.0,French,"Paris, Marseille, Lyon"
IS,Iceland,15667,5000000.0,Unknown,Unknown
US,United States of America,15667,5000000.0,Unknown,Unknown
CA,Canada,14753,38000000.0,"English, French","Toronto, Vancouver, Montreal"
IT,Italy,14753,5000000.0,Unknown,Unknown
JP,Japan,14753,126000000.0,Japanese,"Tokyo, Osaka, Kyoto"
GB,United Kingdom,14753,67000000.0,English,"London, Manchester, Birmingham"
GB,United Kingdom,46067,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,50155,5000000.0,Unknown,Unknown
US,United States of America,13066,5000000.0,Unknown,Unknown
CA,Canada,27827,38000000.0,"English, French","Toronto, Vancouver, Montreal"
NZ,New Zealand,3603,5000000.0,Unknown,Unknown
DE,Germany,2014,83000000.0,German,"Berlin, Munich, Hamburg"
TR,Turkey,2014,5000000.0,Unknown,Unknown
US,United States of America,17202,5000000.0,Unknown,Unknown
US,United States of America,663,5000000.0,Unknown,Unknown
US,United States of America,9262,5000000.0,Unknown,Unknown
US,United States of America,15651,5000000.0,Unknown,Unknown
JP,Japan,27276,126000000.0,Japanese,"Tokyo, Osaka, Kyoto"
US,United States of America,95560,5000000.0,Unknown,Unknown
GB,United Kingdom,25476,67000000.0,English,"London, Manchester, Birmingham"
HK,Hong Kong,48301,5000000.0,Unknown,Unknown
IT,Italy,29362,5000000.0,Unknown,Unknown
ZA,South Africa,29362,5000000.0,Unknown,Unknown
US,United States of America,29362,5000000.0,Unknown,Unknown
US,United States of America,33931,5000000.0,Unknown,Unknown
DK,Denmark,12646,5000000.0,Unknown,Unknown
KR,South Korea,20605,5000000.0,Unknown,Unknown
ES,Spain,20607,5000000.0,Unknown,Unknown
KR,South Korea,2015,5000000.0,Unknown,Unknown
US,United States of America,28007,5000000.0,Unknown,Unknown
BR,Brazil,7347,213000000.0,Portuguese,"São Paulo, Rio de Janeiro, Brasília"
BR,Brazil,14421,213000000.0,Portuguese,"São Paulo, Rio de Janeiro, Brasília"
US,United States of America,5718,5000000.0,Unknown,Unknown
US,United States of America,5126,5000000.0,Unknown,Unknown
US,United States of America,16126,5000000.0,Unknown,Unknown
HK,Hong Kong,18731,5000000.0,Unknown,Unknown
US,United States of America,37005,5000000.0,Unknown,Unknown
CA,Canada,18442,38000000.0,"English, French","Toronto, Vancouver, Montreal"
US,United States of America,42173,5000000.0,Unknown,Unknown
GB,United Kingdom,4982,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,4982,5000000.0,Unknown,Unknown
US,United States of America,5559,5000000.0,Unknown,Unknown
TH,Thailand,25755,5000000.0,Unknown,Unknown
US,United States of America,7972,5000000.0,Unknown,Unknown
FR,France,2013,65000000.0,French,"Paris, Marseille, Lyon"
US,United States of America,2013,5000000.0,Unknown,Unknown
US,United States of America,6977,5000000.0,Unknown,Unknown
GB,United Kingdom,39127,67000000.0,English,"London, Manchester, Birmingham"
DE,Germany,39127,83000000.0,German,"Berlin, Munich, Hamburg"
FR,France,39127,65000000.0,French,"Paris, Marseille, Lyon"
US,United States of America,4953,5000000.0,Unknown,Unknown
GB,United Kingdom,4953,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,10520,5000000.0,Unknown,Unknown
US,United States of America,26336,5000000.0,Unknown,Unknown
US,United States of America,37368,5000000.0,Unknown,Unknown
MX,Mexico,37368,126000000.0,Spanish,"Mexico City, Guadalajara, Monterrey"
FR,France,19026,65000000.0,French,"Paris, Marseille, Lyon"
ES,Spain,19026,5000000.0,Unknown,Unknown
BE,Belgium,19026,5000000.0,Unknown,Unknown
IT,Italy,19026,5000000.0,Unknown,Unknown
US,United States of America,5123,5000000.0,Unknown,Unknown
US,United States of America,16203,5000000.0,Unknown,Unknown
US,United States of America,53827,5000000.0,Unknown,Unknown
US,United States of America,18612,5000000.0,Unknown,Unknown
SE,Sweden,5817,5000000.0,Unknown,Unknown
JP,Japan,5817,126000000.0,Japanese,"Tokyo, Osaka, Kyoto"
DE,Germany,5817,83000000.0,German,"Berlin, Munich, Hamburg"
FR,France,5817,65000000.0,French,"Paris, Marseille, Lyon"
DK,Denmark,5817,5000000.0,Unknown,Unknown
NO,Norway,5817,5000000.0,Unknown,Unknown
US,United States of America,13363,5000000.0,Unknown,Unknown
KR,South Korea,43987,5000000.0,Unknown,Unknown
US,United States of America,32726,5000000.0,Unknown,Unknown
US,United States of America,4515,5000000.0,Unknown,Unknown
US,United States of America,5375,5000000.0,Unknown,Unknown
US,United States of America,2310,5000000.0,Unknown,Unknown
CA,Canada,2284,38000000.0,"English, French","Toronto, Vancouver, Montreal"
US,United States of America,2284,5000000.0,Unknown,Unknown
US,United States of America,6639,5000000.0,Unknown,Unknown
FR,France,4723,65000000.0,French,"Paris, Marseille, Lyon"
DE,Germany,4723,83000000.0,German,"Berlin, Munich, Hamburg"
US,United States of America,4723,5000000.0,Unknown,Unknown
US,United States of America,29162,5000000.0,Unknown,Unknown
DE,Germany,48267,83000000.0,German,"Berlin, Munich, Hamburg"
US,United States of America,16768,5000000.0,Unknown,Unknown
US,United States of America,21296,5000000.0,Unknown,Unknown
CA,Canada,10251,38000000.0,"English, French","Toronto, Vancouver, Montreal"
US,United States of America,24060,5000000.0,Unknown,Unknown
US,United States of America,34898,5000000.0,Unknown,Unknown
CZ,Czech Republic,12555,5000000.0,Unknown,Unknown
SK,Slovakia,12555,5000000.0,Unknown,Unknown
US,United States of America,22606,5000000.0,Unknown,Unknown
US,United States of America,13561,5000000.0,Unknown,Unknown
DE,Germany,13168,83000000.0,German,"Berlin, Munich, Hamburg"
US,United States of America,13168,5000000.0,Unknown,Unknown
RU,Russia,20714,5000000.0,Unknown,Unknown
AR,Argentina,11148,5000000.0,Unknown,Unknown
US,United States of America,46872,5000000.0,Unknown,Unknown
US,United States of America,18312,5000000.0,Unknown,Unknown
FR,France,17460,65000000.0,French,"Paris, Marseille, Lyon"
IT,Italy,17460,5000000.0,Unknown,Unknown
US,United States of America,5876,5000000.0,Unknown,Unknown
US,United States of America,4523,5000000.0,Unknown,Unknown
FR,France,1620,65000000.0,French,"Paris, Marseille, Lyon"
US,United States of America,1620,5000000.0,Unknown,Unknown
US,United States of America,15250,5000000.0,Unknown,Unknown
US,United States of America,13474,5000000.0,Unknown,Unknown
IN,India,8079,1390000000.0,"Hindi, English","Mumbai, Delhi, Bangalore"
US,United States of America,13483,5000000.0,Unknown,Unknown
GB,United Kingdom,2268,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,2268,5000000.0,Unknown,Unknown
